bos_mutus	Bos mutus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata
stegastes_partitus	Stegastes partitus	Stegastes	Pomacentridae	NA	Actinopteri	Chordata
laticauda_laticaudata	Laticauda laticaudata	Laticauda	Elapidae	Squamata	Lepidosauria	Chordata
cricetulus_griseus_chok1gshd	Cricetulus griseus	Cricetulus	Cricetidae	Rodentia	Mammalia	Chordata
buteo_japonicus	Buteo japonicus	Buteo	Accipitridae	Accipitriformes	Aves	Chordata
mesocricetus_auratus	Mesocricetus auratus	Mesocricetus	Cricetidae	Rodentia	Mammalia	Chordata
apteryx_owenii	Apteryx owenii	Apteryx	Apterygidae	Apterygiformes	Aves	Chordata
canis_lupus_familiarisgreatdane	Canis lupus familiaris	Canis	Canidae	Carnivora	Mammalia	Chordata
anser_cygnoides	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	Chordata
sorex_araneus	Sorex araneus	Sorex	Soricidae	Eulipotyphla	Mammalia	Chordata
maylandia_zebra	Maylandia zebra	Maylandia	Cichlidae	Cichliformes	Actinopteri	Chordata
microtus_ochrogaster	Microtus ochrogaster	Microtus	Cricetidae	Rodentia	Mammalia	Chordata
theropithecus_gelada	Theropithecus gelada	Theropithecus	Cercopithecidae	Primates	Mammalia	Chordata
parambassis_ranga	Parambassis ranga	Parambassis	Ambassidae	NA	Actinopteri	Chordata
carlito_syrichta	Carlito syrichta	Carlito	Tarsiidae	Primates	Mammalia	Chordata
malurus_cyaneus_samueli	Malurus cyaneus samueli	Malurus	Maluridae	Passeriformes	Aves	Chordata
otolemur_garnettii	Otolemur garnettii	Otolemur	Galagidae	Primates	Mammalia	Chordata
astyanax_mexicanus	Astyanax mexicanus	Astyanax	Characidae	Characiformes	Actinopteri	Chordata
macaca_mulatta	Macaca mulatta	Macaca	Cercopithecidae	Primates	Mammalia	Chordata
oreochromis_niloticus	Oreochromis niloticus	Oreochromis	Cichlidae	Cichliformes	Actinopteri	Chordata
myripristis_murdjan	Myripristis murdjan	Myripristis	Holocentridae	Holocentriformes	Actinopteri	Chordata
parus_major	Parus major	Parus	Paridae	Passeriformes	Aves	Chordata
procavia_capensis	Procavia capensis	Procavia	Procaviidae	Hyracoidea	Mammalia	Chordata
cyprinodon_variegatus	Cyprinodon variegatus	Cyprinodon	Cyprinodontidae	Cyprinodontiformes	Actinopteri	Chordata
callorhinchus_milii	Callorhinchus milii	Callorhinchus	Callorhinchidae	Chimaeriformes	Chondrichthyes	Chordata
catagonus_wagneri	Catagonus wagneri	Catagonus	Tayassuidae	Artiodactyla	Mammalia	Chordata
gopherus_agassizii	Gopherus agassizii	Gopherus	Testudinidae	Testudines	NA	Chordata
amphiprion_percula	Amphiprion percula	Amphiprion	Pomacentridae	NA	Actinopteri	Chordata
acanthochromis_polyacanthus	Acanthochromis polyacanthus	Acanthochromis	Pomacentridae	NA	Actinopteri	Chordata
zonotrichia_albicollis	Zonotrichia albicollis	Zonotrichia	Passerellidae	Passeriformes	Aves	Chordata
rhinopithecus_bieti	Rhinopithecus bieti	Rhinopithecus	Cercopithecidae	Primates	Mammalia	Chordata
podarcis_muralis	Podarcis muralis	Podarcis	Lacertidae	Squamata	Lepidosauria	Chordata
phocoena_sinus	Phocoena sinus	Phocoena	Phocoenidae	Artiodactyla	Mammalia	Chordata
pteropus_vampyrus	Pteropus vampyrus	Pteropus	Pteropodidae	Chiroptera	Mammalia	Chordata
meleagris_gallopavo	Meleagris gallopavo	Meleagris	Phasianidae	Galliformes	Aves	Chordata
myotis_lucifugus	Myotis lucifugus	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata
xiphophorus_couchianus	Xiphophorus couchianus	Xiphophorus	Poeciliidae	Cyprinodontiformes	Actinopteri	Chordata
cyclopterus_lumpus	Cyclopterus lumpus	Cyclopterus	Cyclopteridae	Perciformes	Actinopteri	Chordata
amphiprion_ocellaris	Amphiprion ocellaris	Amphiprion	Pomacentridae	NA	Actinopteri	Chordata
erinaceus_europaeus	Erinaceus europaeus	Erinaceus	Erinaceidae	Eulipotyphla	Mammalia	Chordata
salarias_fasciatus	Salarias fasciatus	Salarias	Blenniidae	Blenniiformes	Actinopteri	Chordata
chelonoidis_abingdonii	Chelonoidis abingdonii	Chelonoidis	Testudinidae	Testudines	NA	Chordata
pundamilia_nyererei	Pundamilia nyererei	Pundamilia	Cichlidae	Cichliformes	Actinopteri	Chordata
scophthalmus_maximus	Scophthalmus maximus	Scophthalmus	Scophthalmidae	Pleuronectiformes	Actinopteri	Chordata
panthera_leo	Panthera leo	Panthera	Felidae	Carnivora	Mammalia	Chordata
oryzias_javanicus	Oryzias javanicus	Oryzias	Adrianichthyidae	Beloniformes	Actinopteri	Chordata
echinops_telfairi	Echinops telfairi	Echinops	Tenrecidae	NA	Mammalia	Chordata
cebus_capucinus	Cebus capucinus imitator	Cebus	Cebidae	Primates	Mammalia	Chordata
bison_bison_bison	Bison bison bison	Bison	Bovidae	Artiodactyla	Mammalia	Chordata
dipodomys_ordii	Dipodomys ordii	Dipodomys	Heteromyidae	Rodentia	Mammalia	Chordata
heterocephalus_glaber_male	Heterocephalus glaber	Heterocephalus	Bathyergidae	Rodentia	Mammalia	Chordata
physeter_catodon	Physeter catodon	Physeter	Physeteridae	Artiodactyla	Mammalia	Chordata
rattus_norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata
pseudonaja_textilis	Pseudonaja textilis	Pseudonaja	Elapidae	Squamata	Lepidosauria	Chordata
cyprinus_carpio_hebaored	Cyprinus carpio	Cyprinus	Cyprinidae	Cypriniformes	Actinopteri	Chordata
cyprinus_carpio	Cyprinus carpio	Cyprinus	Cyprinidae	Cypriniformes	Actinopteri	Chordata
